ISSN,Ejis 2007,EjisCI 2007,Wie 2008,HEC 2011,UQ 2011,ABS 2015,Vhb 2015,Abdc 2016,Ess 2016,Fnege 2016,Cnrs 2017,Den 2017,Hceres 2017
0265-1335,3,4,,3,2,3,4,2,,3,4,2,1
0265-2323,4,4,,,4,5,8,3,,5,5,2,3
0267-257X,3,3,,4,2,4,6,2,4,4,4,2,2
0273-4753,3,3,,,3,4,8,3,,5,,2,3
0276-1467,4,4,,4,3,4,6,2,,4,5,2,2
0309-0566,3,3,,4,2,3,6,1,4,4,4,2,2
0363-8111,4,4,,,3,,,2,,,,2,
0732-2399,1,1,1,1,1,1,1,1,1,2,2,1,1
0736-3761,4,4,,,3,5,7,3,5,5,5,2,3
0742-6046,3,3,2,3,2,3,4,2,3,3,4,1,1
0743-9156,3,3,,3,2,3,4,2,,4,3,1,2
0885-3134,3,3,,3,3,4,4,3,4,4,5,2,2
0885-8624,4,4,,4,3,4,6,2,,4,4,2,2
0887-6045,3,4,,3,3,4,6,2,,4,4,2,2
0891-1762,4,4,,,4,5,6,4,,,,2,
0896-1530,4,4,,4,4,,,4,,,,2,
0923-0645,2,2,2,2,2,3,4,2,3,3,3,1,1
0950-3293,,,,,,,,,,,,1,1
0954-2892,,,,,3,,,2,4,,4,1,2
0957-4824,,,,,,,,,,,,2,1
0959-0552,4,4,,4,4,4,6,3,,4,4,2,2
0959-3969,4,4,,4,,5,6,3,,,,2,
0960-4529,4,4,,,,5,6,2,,,,2,
0965-254X,3,3,2,4,3,4,6,2,,5,5,2,3
0969-6989,4,4,,4,3,4,6,2,,4,4,2,2
1010-7347,4,4,,,4,,,4,,,,,
1046-669X,4,4,,,4,5,8,4,,,,2,
1049-5142,4,4,,,3,5,6,3,,,,2,
1049-6483,4,4,,4,4,,,4,,,,2,
1051-712X,4,4,,4,3,4,6,3,,5,5,1,3
1057-7408,2,2,2,1,2,1,2,2,2,2,2,2,1
